,Company site,Traded on,Revenue,Operating income,Net income,Total assets,Total equity
481,http://plbygroup.com,Nasdaq,$147.7 million,$13.61 million,−$5.27 million,$412.13 million,$83.02 million
482,https://www.salesforce.com,NYSE,US$31.35 billion,US$1.03 billion,US$208 million,US$98.85 billion,US$58.36 billion
483,https://www.papajohns.com,Nasdaq,US$1.81 billion,US$90.253 million,US$57.932 million,US$872.770 million,−US$266.939 million
484,https://www.shakeshack.com,NYSE,US$459.31 million,US$31.71 million,US$15.18 million,US$433.50 million,US$433.51 million
485,http://jollibee.com,PSE,₱6.3 billion,₱6.0 billion,₱210.8 billion,₱74.2 billion,
486,http://teradata.com,NYSE,US$1.79 billion,US$118 million,US$33 million,US$2.02 billion,US$258 million
487,http://www.hrblock.com,NYSE,US$3.413 billion,US$0.590 billion,US$0.583 billion,US$3.653 billion,US$0.352 billion
488,https://www.cloudflare.com,NYSE,US$975 million,US$−201 million,US$−193 million,US$2.59 billion,US$624 million
489,https://www.stitchfix.com,Nasdaq,US$2.07 billion,US$−208 million,US$−207 million,US$765 million,US$323 million
490,https://www.onsemi.com,Nasdaq,US$8.33 billion,US$2.36 billion,US$1.90 billion,US$11.98 billion,US$6.21 billion
491,https://www.fmnplc.com,NGX,₦1.2 billion,,,,
492,http://www.marathonpetroleum.com,NYSE,US$69.032 billion,−US$12.247 billion,−US$9.977 billion,US$85.158 billion,US$29.252 billion
493,https://www.mosaicco.com,NYSE,US$ 12.36 billion,US$ 465.7 million,US$ 1.6 billion,US$ 22.04 billion,US$ 10.75 billion
494,http://mercadolibre.com,Nasdaq,US$10.5 billion,US$1.03 billion,US$482 million,US$13.7 billion,US$1.83 billion
495,https://www.whitbread.co.uk/Whitbread,LSE,£1.703.4 million,£153.3 million,£42.5 million,,
496,https://www.sbstransit.com,SGX,S$1.19 billion,S$59.3 million,S$47.1 million,,
497,https://www.bergerpaints.com,BSE,₹8.826 crore,₹1.118 crore,₹829 crore,₹7.212 crore,₹3.926 crore
498,http://nttdata.com,TYO,¥2.31 trillion,¥139 billion,¥81.7 billion,¥2.9 trillion,¥1.1 trillion
499,http://smith-nephew.com,LSE,$5,215 million,$450 million,$223 million,
500,https://saic.com,NYSE,US$14.4 billion,US$1.10 billion,US$693 million,US$13.1 billion,US$4.30 billion
501,https://www.53.com,Nasdaq,US$7.90 billion,,US$2.66 billion,US$211.12 billion,US$22.21 billion
502,http://transunion.com,NYSE,US$2.656 billion,US$607.8 million,US$346.9 million,US$7.113 billion,US$2.245 billion
503,https://www.opentext.com,TSX,US$3.49 billion,US$645 million,US$397 million,US$10.18 billion,US$4.03 billion
504,https://www.asianpaints.com,BSE,₹29.481 crore,₹4.271 crore,₹3.053 crore,₹22.984 crore,₹13.811 crore
505,http://southstatebank.com,Nasdaq,,,US$178 million,US$34 billion,US$2.366 billion
506,http://flooranddecor.com,NYSE,US$3.433.53 million,,US$283.23 million,,US$1.323.2 million
507,http://texascapitalbank.com,Nasdaq,US$992.9 million,,US$300.8 million,US$40 billion,
508,https://www.ovintiv.com,NYSE,US$8.658 billion,,US$1.416 million,US$14.055 billion,US$5.074 billion
509,http://www.averydennison.com,NYSE,US$8.408 billion,US$992.6 million,US$740.1 million,US$7.971 billion,US$1.924 billion
510,http://commscope.com,Nasdaq,US$8.59 billion,US$48.6 million,US$−462.6 million,US$13.26 billion,US$−156.6 million
511,http://www.ball.com,NYSE,US$15.35 billion,US$1.22 billion,US$719 million,US$19.91 billion,US$3.53 billion
512,https://www.cadence.com,Nasdaq,US$3.56 billion,US$1.07 billion,US$849 million,US$5.14 billion,US$2.75 billion
